"Package","File","Title","ContentTypeName","Category","CodeType","ContentMarkupType","CssPrefCount","CssPrefs","UserPrefCount","UserPrefs"
"perc.baseWidgets","percRawHtml.xml","HTML","percRawHtmlAsset","integration","jexl","velocity","0","","0",""
"perc.baseWidgets","percRichText.xml","Rich Text","percRichTextAsset","content","jexl","velocity","1","rootclass","0",""
"perc.baseWidgets","percSimpleText.xml","Simple Text","percSimpleTextAsset","content","jexl","velocity","1","rootclass","0",""
"perc.defaultLanguage","percDefaultLang.xml","Default Language","percDefaultLanguage","","jexl","velocity","0","","0",""
"perc.defaultLanguage","percLocalLang.xml","Local Language","percLocalLanguage","","jexl","velocity","0","","0",""
"perc.eventWidget","percEvent.xml","Event","percEventAsset","content","jexl","velocity","1","rootclass","9","perc_hidefield_displaytitle;perc_hidefield_callout;perc_hidefield_body;perc_hidefield_location;perc_hidefield_start_time;perc_hidefield_end_time;renderEmptyFields;startDateTimeFormat;endDateTimeFormat"
"perc.FileAssetWidget","percFile.xml","File","percFileAsset","content,rich media","jexl","velocity","1","rootclass","2","linkNewWindow;referalPolicy"
"perc.ImageAutoListWidget","percImageAutoList.xml","Image Auto List","percImageAutoList","rich media,search","jexl","velocity","4","rootclass;listclass;thumblinkclass;captionclass","16","renderingformat;listTitleFormat;autoListDivId;listItemFormat;sortby;sortDirection;showPostDate;postDateTimeFormat;locale;maxlength;caption;listAriaLabel;listAriaRole;perc_hide_when_empty;layout;target"
"perc.openGraphWidget","percOpenGraph.xml","Facebook Open Graph","percOpenGraph","social","jexl","velocity","1","rootclass","7","og_site_name;og_type;og_image;og_image_width;og_image_height;og_locale;fb_app_id"
"perc.PageAutoListWidget","percPageAutoList.xml","Page Auto List","percPageAutoList","content,search","jexl","velocity","2","rootclass;summaryclass","22","listType;listTitleFormat;autoListDivId;itemTitleFormat;sortby;sortDirection;layout;totalMaxResults;maxlength;pagingPagesText;summary;listAriaLabel;listAriaRole;perc_hide_when_empty;target;enable_rss_icon;rssIconPosition;rssLinkText;showPostDate;postDateTimeFormat;locale;enableCalenderIcon"
"perc.Test","PSWidget_TestProperties.xml","Test Properties","PSWidget_TestProperties","","jexl","velocity","0","","4","show_date;show_summ;num_entries;day_of_week"
"perc.twitterSummaryCards","percTwitterSummaryCards.xml","Twitter Summary Cards","percTwitterCards","social","jexl","velocity","1","rootclass","4","twittercard_type;twitter_site;twitter_image;twitter_image_alt"
"perc.widget.archiveList","percArchiveList.xml","Archives","percArchiveList","blog,search","jexl","velocity","2","rootclass;summaryclass","3","layout;list_maxlength;locale"
"perc.widget.blogIndexPage","percBlogIndexPage.xml","Blog List","percBlogIndexAsset","blog","jexl","velocity","1","rootclass","31","titleFormat;autoListDivId;sortby;sortDirection;blogPostDateTimeFormat;locale;perc_hidefield_title;perc_hidefield_summary;perc_hidefield_blog_date;perc_hidefield_byline;perc_hidefield_comments;perc_hidefield_tags;perc_tag_label;perc_hidefield_categories;perc_category_label;totalMaxResults;blogPostMaxResults;pagingPagesText;resultEntriesTextPlural;resultEntriesTextSingular;listAriaLabel;listAriaRole;perc_hide_when_empty;blogListHeaderText;blogPostReadMoreText;blogPostCommentsText;blogPostBylineText;enable_rss_icon;rssIconPosition;rssLinkText;enableCalenderIcon"
"perc.widget.calendar","percCalendar.xml","Calendar","percCalendarAsset","Other","jexl","velocity","1","rootclass","5","perc_calendar_view;perc_calendar_type;perc_show_page_summary;perc_start_day;perc_time_format"
"perc.widget.calendar","percCalendarTwo.xml","Calendar 2.0","percCalendarAsset","Other","jexl","velocity","1","rootclass","18","perc_layout_type;perc_enable_view_toggle_buttons;perc_max_results;perc_event_title_tag_type;enableCalenderIcon;showEventDate;eventDateFormat;showEventTime;eventTimeFormat;perc_calendar_view;perc_calendar_type;perc_calendar_detail;perc_show_page_summary;perc_start_day;perc_time_format;perc_calendar_display_language;perc_show_perc_events_button;perc_event_button_label"
"perc.widget.categoryList","percCategoryList.xml","Categories","percCategoryList","blog,search","jexl","velocity","1","rootclass","2","perc_display_option;perc_max_categories"
